Id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,
40,TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,32578,OKALOOSA,8506784131,1,6,TRUE,TRUE,4,6,3,6,1,6,3,6,1,6,3,6,3,6,2,6,
41,HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,DAVENPORT,FL,33837,POLK,8634224971,1,6,TRUE,TRUE,2,6,3,6,3,6,2,6,2,6,3,6,2,6,3,6,
42,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,MIAMI,FL,33175,MIAMI-DADE,3052233000,1,6,TRUE,TRUE,3,6,3,6,1,6,2,6,2,6,3,6,3,6,3,6,
43,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,,9078352249,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
44,PETERSBURG MEDICAL CENTER, PO BOX 589,PETERSBURG,AK,99833,,9077724291,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
45,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,,9074248000,3,3,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
46,JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE & MIMOSA DRIVE,THOMASVILLE,GA,31792,THOMAS,2292282880,1,10,TRUE,TRUE,3,6,3,6,1,6,1,6,3,6,3,6,2,6,2,6,
47,MEADOWS REGIONAL MEDICAL CENTER,ONE MEADOWS PARKWAY,VIDALIA,GA,30474,TOOMBS,9125355828,1,6,TRUE,TRUE,3,6,3,6,2,6,3,6,1,6,3,6,1,6,2,6,
48,NORTH HAWAII COMMUNITY HOSPITAL,67 1125 MAMALAHOA HIGHWAY,KAMUELA,HI,96743,HAWAII,8088854444,1,10,TRUE,TRUE,3,6,3,6,4,1,3,6,3,6,3,6,3,6,3,6,
49,PUTNAM GENERAL HOSPITAL,101 LAKE OCONEE PARKWAY,EATONTON,GA,31024,PUTNAM,7064852711,3,2,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,3,6,3,6,4,1,
50,LIBERTY REGIONAL MEDICAL CENTER,462 E G MILES PARKWAY,HINESVILLE,GA,31310,LIBERTY,9123699438,3,2,TRUE,TRUE,3,6,3,6,4,1,3,6,3,6,3,6,3,6,4,1,
51,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,1512 TWELFTH AVENUE ROAD,NAMPA,ID,83686,CANYON,2084635000,1,8,TRUE,TRUE,4,6,3,6,1,6,1,6,2,6,3,6,1,6,3,6,
52,ST LUKE'S WOOD RIVER MEDICAL CENTER,100 HOSPITAL DRIVE,KETCHUM,ID,83340,BLAINE,2087278800,3,10,TRUE,FALSE,6,2,4,1,4,1,3,6,1,6,4,1,4,1,4,1,
53,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,MADISON,6184637300,1,10,TRUE,TRUE,3,6,3,6,2,6,3,6,3,6,3,6,3,6,1,6,
54,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON,JOLIET,IL,60435,WILL,8157257133,1,8,TRUE,TRUE,2,6,1,6,2,6,2,6,3,6,2,6,3,6,3,6,
55,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7732576751,1,10,TRUE,TRUE,2,6,3,6,2,6,3,6,2,6,3,6,2,6,3,6,
56,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,6184652571,1,8,TRUE,TRUE,3,6,3,6,3,6,2,6,1,6,3,6,3,6,3,6,
57,METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,60406,COOK,7085972000,1,6,TRUE,TRUE,2,6,1,6,3,6,2,6,2,6,3,6,2,6,3,6,
58,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,7083332300,1,10,TRUE,TRUE,3,6,1,6,1,6,2,6,2,6,3,6,3,6,3,6,
59,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,SALINE,6182537671,1,9,TRUE,TRUE,3,6,3,6,4,1,2,6,3,6,3,6,1,6,2,6,
60,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,COOK,8474375500,1,8,TRUE,TRUE,4,6,1,6,2,6,1,6,3,6,1,6,3,6,3,6,
61,KISHWAUKEE COMMUNITY HOSPITAL,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,DEKALB,8157561521,1,10,TRUE,TRUE,4,6,3,6,1,6,1,6,3,6,1,6,1,6,3,6,
62,MIDWEST MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,GALENA,IL,61036,JO DAVIESS,8157771340,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
63,HARDIN COUNTY GENERAL HOSPITAL,FERRELL ROAD,ROSICLARE,IL,62982,HARDIN,6182856634,3,10,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
64,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,"225 E CHICAGO, BOX 57",CHICAGO,IL,60611,COOK,7738804000,2,9,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
65,LARABIDA CHILDRENS HOSPITAL I,E 65TH ST AT LAKE MICHIGAN,CHICAGO,IL,60649,COOK,7733636700,2,10,FALSE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
66,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,8128010105,1,10,TRUE,TRUE,4,6,3,6,1,6,3,6,1,6,3,6,1,6,3,6,
67,COMMUNITY HOSPITAL SOUTH,1402 E COUNTY LINE RD S,INDIANAPOLIS,IN,46227,MARION,3178877000,1,10,TRUE,TRUE,4,6,3,6,1,6,1,6,3,6,1,6,3,6,1,6,
68,OTTUMWA REGIONAL HEALTH CENTER,1001 E PENNSYLVANIA,OTTUMWA,IA,52501,WAPELLO,6416827511,1,6,TRUE,TRUE,3,6,3,6,2,6,1,6,2,6,3,6,1,6,2,6,
69,MERCY MEDICAL CENTER-CENTERVILLE,ONE ST JOSEPH'S DRIVE,CENTERVILLE,IA,52544,APPANOOSE,6414374111,3,10,TRUE,TRUE,4,4,3,6,4,1,3,6,3,6,4,1,4,1,4,1,
70,MORTON COUNTY HOSPITAL,445 N HILLTOP,ELKHART,KS,67950,MORTON,6206972141,1,3,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,3,6,1,6,4,1,
71,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,FAYETTE,8593131000,1,8,TRUE,TRUE,2,6,3,6,2,6,3,6,2,6,3,6,2,6,3,6,
72,LANE COUNTY HOSPITAL,235 WEST VINE  PO BOX 969,DIGHTON,KS,67839,LANE,6203975321,3,9,TRUE,FALSE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
73,COMANCHE COUNTY HOSPITAL,2ND & FRISCO STREET,COLDWATER,KS,67029,COMANCHE,6205822144,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
74,HAMILTON COUNTY HOSPITAL,700 NORTH HUSER,SYRACUSE,KS,67878,HAMILTON,6203847461,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
75,SATANTA DISTRICT HOSPITAL,CHEYENNE & APACHE,SATANTA,KS,67870,HASKELL,6206492761,3,2,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
76,SABETHA COMMUNITY HOSPITAL,14TH & OREGON,SABETHA,KS,66534,NEMAHA,7852842121,3,10,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,3,6,
77,WILSON MEDICAL CENTER,REECE CAMPUS 2600 OTTAWA ROAD,NEODESHA,KS,66757,WILSON,6203258369,3,9,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,1,6,4,1,
78,ST LUKE HOSPITAL & LIVING CENTER,535 SOUTH FREEBRON,MARION,KS,66861,MARION,6203822177,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
79,ALLEN COUNTY REGIONAL HOSPITAL,3066 NORTH KENTUCKY STREET,IOLA,KS,66749,ALLEN,6203651021,3,6,TRUE,FALSE,2,6,3,6,4,1,3,6,3,6,4,1,1,6,3,6,
80,ATCHISON HOSPITAL,800 RAVIN HILL DRIVE,ATCHISON,KS,66002,ATCHISON,9133605581,3,10,TRUE,FALSE,3,4,3,6,4,1,3,6,1,6,4,1,4,1,4,1,
81,HARRISON MEMORIAL HOSPITAL,1210 KY HWY 36 E,CYNTHIANA,KY,41031,HARRISON,8592342300,1,9,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,1,6,3,6,
82,BAPTIST HEALTH CORBIN,ONE TRILLIUM WAY,CORBIN,KY,40701,KNOX,6065281212,1,10,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,
83,MINDEN MEDICAL CENTER,NO 1 MEDICAL PLAZA,MINDEN,LA,71055,WEBSTER,3183772321,1,6,TRUE,TRUE,4,6,3,6,3,6,1,6,1,6,3,6,1,6,3,6,
84,LASALLE GENERAL HOSPITAL,187 NINTH ST/HWY 84 WEST,JENA,LA,71342,LA SALLE,3189929200,1,2,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,3,6,3,6,3,6,
85,THE SPINE HOSPITAL OF LOUISIANA,"10105 PARK ROW CIRCLE, SUITE 250",BATON ROUGE,LA,70810,EAST BATON ROUGE,2257639900,1,6,FALSE,TRUE,6,2,4,1,4,1,4,1,1,6,4,1,4,1,4,1,
86,AROOSTOOK MEDICAL CENTER,PO BOX 151,PRESQUE ISLE,ME,4769,AROOSTOOK,2077684000,1,10,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,
87,EASTERN MAINE MEDICAL CENTER,PO BOX 404,BANGOR,ME,4401,PENOBSCOT,2079737000,1,10,TRUE,TRUE,2,6,2,6,3,6,2,6,2,6,3,6,2,6,1,6,
88,CHARLES A DEAN MEMORIAL HOSPITAL,PO BOX 1129,GREENVILLE,ME,4441,PISCATAQUIS,2076955200,3,10,FALSE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
89,WALDO COUNTY GENERAL HOSPITAL,PO BOX 287,BELFAST,ME,4915,WALDO,2073382500,3,10,TRUE,FALSE,3,4,3,6,4,1,3,6,3,6,4,1,4,1,4,1,
90,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,1842,ESSEX,9786834000,1,10,TRUE,TRUE,2,6,1,6,2,6,2,6,2,6,3,6,2,6,3,6,
91,EMERSON HOSPITAL,OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,1742,MIDDLESEX,9783691400,1,10,TRUE,TRUE,4,6,3,6,3,6,1,6,1,6,3,6,2,6,1,6,
92,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",41 & 45 MALL ROAD,BURLINGTON,MA,1803,MIDDLESEX,7817445100,1,10,TRUE,FALSE,3,6,1,6,2,6,2,6,3,6,2,6,2,6,3,6,
93,MARTHA'S VINEYARD HOSPITAL INC,"ONE HOSPITAL ROAD, FIRST FL, WING 5,  PO BOX 1477",OAK BLUFFS,MA,2557,DUKES,5086930410,3,10,TRUE,TRUE,4,4,3,6,4,1,3,6,1,6,4,1,4,1,4,1,
94,SPECTRUM HEALTH LUDINGTON HOSPITAL,ONE N ATKINSON DRIVE,LUDINGTON,MI,49431,MASON,2318432591,1,9,TRUE,TRUE,4,6,3,6,1,6,1,6,3,6,3,6,3,6,3,6,
95,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503,GENESEE,8102579000,1,9,TRUE,TRUE,1,6,3,6,2,6,2,6,2,6,2,6,2,6,3,6,
96,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,GENESEE,8106065000,1,8,TRUE,TRUE,2,6,1,6,2,6,2,6,2,6,2,6,2,6,1,6,
97,"BEAUMONT HOSPITAL, TROY",44201 DEQUINDRE ROAD,TROY,MI,48085,OAKLAND,2489648800,1,10,TRUE,TRUE,3,6,1,6,1,6,2,6,3,6,3,6,3,6,1,6,
98,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,DETROIT,MI,48201,WAYNE,3137453104,1,6,TRUE,TRUE,1,6,3,6,2,6,2,6,2,6,3,6,2,6,3,6,
99,HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSHIP,MI,48382,OAKLAND,2489373370,1,6,TRUE,TRUE,3,6,3,6,2,6,2,6,3,6,3,6,1,6,3,6,
100,MUNSON HEALTHCARE CHARLEVOIX HOSPITAL,14700 LAKESHORE DRIVE,CHARLEVOIX,MI,49720,CHARLEVOIX,2315474024,3,9,TRUE,TRUE,3,6,3,6,4,1,3,6,1,6,3,6,3,6,3,6,
101,SPECTRUM HEALTH REED CITY HOSPITAL,"300 N PATTERSON, PO BOX 75",REED CITY,MI,49677,OSCEOLA,2318323271,3,10,TRUE,TRUE,4,6,3,6,4,1,3,6,3,6,3,6,1,6,3,6,
102,RED LAKE HOSPITAL A,PO BOX 497,REDLAKE,MN,56671,BELTRAMI,2186793912,1,1,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
103,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MAHNOMEN,MN,56557,MAHNOMEN,2189352511,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,3,6,4,1,
104,RENVILLE COUNTY HOSPITAL AND CLINICS,100 HEALTHY WAY,OLIVIA,MN,56277,RENVILLE,3205231261,3,3,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
105,PRAIRIE RIDGE HOSPITAL AND HEALTH SERVICES,1411 STATE HIGHWAY 793,ELBOW LAKE,MN,56531,GRANT,2186854461,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
106,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,P O BOX 948/427 HIGHWAY 51 NORTH,BROOKHAVEN,MS,39601,LINCOLN,6018336011,1,9,TRUE,TRUE,4,6,3,6,3,6,3,6,1,6,3,6,3,6,3,6,
107,JEFFERSON COUNTY HOSPITAL,870 S MAIN,FAYETTE,MS,39069,JEFFERSON,6017863401,1,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,1,6,4,1,
108,MERIT HEALTH NATCHEZ,52 SERGEANT PRENTISS DRIVE,NATCHEZ,MS,39120,ADAMS,6014432100,1,6,TRUE,TRUE,2,6,3,6,3,6,3,6,2,6,3,6,3,6,2,6,
109,CHOCTAW HEALTH CENTER,ROUTE 7 BOX R50,PHILADELPHIA,MS,39350,NESHOBA,6016562211,1,1,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
110,WHITFIELD MEDICAL SURGICAL HOSPITAL,"3550 HWY 468 W, BLDG 60",WHITFIELD,MS,39193,RANKIN,6013518023,1,4,FALSE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
111,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110,SAINT LOUIS CITY,3147473000,1,9,TRUE,TRUE,2,6,3,6,2,6,2,6,1,6,3,6,2,6,1,6,
112,MISSOURI BAPTIST MEDICAL CENTER,3015 N BALLAS RD,TOWN AND COUNTRY,MO,63131,SAINT LOUIS,3149965000,1,10,TRUE,TRUE,3,6,1,6,3,6,3,6,3,6,3,6,3,6,1,6,
113,UNIVERSITY OF MISSOURI HEALTH CARE,ONE HOSPITAL DRIVE,COLUMBIA,MO,65212,BOONE,5738824141,1,4,TRUE,TRUE,2,6,2,6,2,6,2,6,3,6,3,6,3,6,3,6,
114,SAINT FRANCIS MEDICAL CENTER,211 ST FRANCIS DR,CAPE GIRARDEAU,MO,63703,CAPE GIRARDEAU,5733313000,1,8,TRUE,TRUE,3,6,2,6,2,6,1,6,1,6,3,6,3,6,2,6,
115,SALEM MEMORIAL DISTRICT HOSPITAL,"PO BOX 774,",SALEM,MO,65560,DENT,5737296626,3,2,TRUE,TRUE,6,2,3,6,4,1,2,6,4,1,4,1,4,1,4,1,
116,MERCY ST FRANCIS HOSPITAL,"100 WEST HIGHWAY 60, PO BOX 82",MOUNTAIN VIEW,MO,65548,HOWELL,4179347000,3,10,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
117,IRON COUNTY HOSPITAL,301 NORTH HIGHWAY 21,PILOT KNOB,MO,63663,IRON,5735461260,3,2,TRUE,FALSE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
118,ST LOUIS CHILDRENS HOSPITAL,ONE CHILDRENS PLACE,SAINT LOUIS,MO,63110,SAINT LOUIS CITY,3144546000,2,9,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
119,MISSOURI RIVER MEDICAL CENTER,1501 ST CHARLES ST,FORT BENTON,MT,59442,CHOUTEAU,4066223331,3,2,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
