Hospital,Mortality,Safety,Readmission,Patient,Effective,Timeliness,Efficient
227,227,5032,9837,14642,19447,24252,29057
228,228,5033,9838,14643,19448,24253,29058
229,229,5034,9839,14644,19449,24254,29059
230,230,5035,9840,14645,19450,24255,29060
231,231,5036,9841,14646,19451,24256,29061
232,232,5037,9842,14647,19452,24257,29062
233,233,5038,9843,14648,19453,24258,29063
234,234,5039,9844,14649,19454,24259,29064
235,235,5040,9845,14650,19455,24260,29065
236,236,5041,9846,14651,19456,24261,29066
237,237,5042,9847,14652,19457,24262,29067
238,238,5043,9848,14653,19458,24263,29068
239,239,5044,9849,14654,19459,24264,29069
240,240,5045,9850,14655,19460,24265,29070
241,241,5046,9851,14656,19461,24266,29071
242,242,5047,9852,14657,19462,24267,29072
243,243,5048,9853,14658,19463,24268,29073
244,244,5049,9854,14659,19464,24269,29074
245,245,5050,9855,14660,19465,24270,29075
246,246,5051,9856,14661,19466,24271,29076
247,247,5052,9857,14662,19467,24272,29077
248,248,5053,9858,14663,19468,24273,29078
249,249,5054,9859,14664,19469,24274,29079
250,250,5055,9860,14665,19470,24275,29080
251,251,5056,9861,14666,19471,24276,29081
252,252,5057,9862,14667,19472,24277,29082
253,253,5058,9863,14668,19473,24278,29083
254,254,5059,9864,14669,19474,24279,29084
255,255,5060,9865,14670,19475,24280,29085
256,256,5061,9866,14671,19476,24281,29086
257,257,5062,9867,14672,19477,24282,29087
258,258,5063,9868,14673,19478,24283,29088
259,259,5064,9869,14674,19479,24284,29089
260,260,5065,9870,14675,19480,24285,29090
261,261,5066,9871,14676,19481,24286,29091
262,262,5067,9872,14677,19482,24287,29092
263,263,5068,9873,14678,19483,24288,29093
264,264,5069,9874,14679,19484,24289,29094
265,265,5070,9875,14680,19485,24290,29095
266,266,5071,9876,14681,19486,24291,29096
267,267,5072,9877,14682,19487,24292,29097
268,268,5073,9878,14683,19488,24293,29098
269,269,5074,9879,14684,19489,24294,29099
270,270,5075,9880,14685,19490,24295,29100
271,271,5076,9881,14686,19491,24296,29101
272,272,5077,9882,14687,19492,24297,29102
273,273,5078,9883,14688,19493,24298,29103
274,274,5079,9884,14689,19494,24299,29104
275,275,5080,9885,14690,19495,24300,29105
276,276,5081,9886,14691,19496,24301,29106
277,277,5082,9887,14692,19497,24302,29107
278,278,5083,9888,14693,19498,24303,29108
279,279,5084,9889,14694,19499,24304,29109
280,280,5085,9890,14695,19500,24305,29110
281,281,5086,9891,14696,19501,24306,29111
282,282,5087,9892,14697,19502,24307,29112
283,283,5088,9893,14698,19503,24308,29113
284,284,5089,9894,14699,19504,24309,29114
285,285,5090,9895,14700,19505,24310,29115
286,286,5091,9896,14701,19506,24311,29116
287,287,5092,9897,14702,19507,24312,29117
288,288,5093,9898,14703,19508,24313,29118
289,289,5094,9899,14704,19509,24314,29119
290,290,5095,9900,14705,19510,24315,29120
291,291,5096,9901,14706,19511,24316,29121
292,292,5097,9902,14707,19512,24317,29122
293,293,5098,9903,14708,19513,24318,29123
294,294,5099,9904,14709,19514,24319,29124
295,295,5100,9905,14710,19515,24320,29125
296,296,5101,9906,14711,19516,24321,29126
297,297,5102,9907,14712,19517,24322,29127
298,298,5103,9908,14713,19518,24323,29128
299,299,5104,9909,14714,19519,24324,29129
300,300,5105,9910,14715,19520,24325,29130
301,301,5106,9911,14716,19521,24326,29131
302,302,5107,9912,14717,19522,24327,29132
303,303,5108,9913,14718,19523,24328,29133
304,304,5109,9914,14719,19524,24329,29134
305,305,5110,9915,14720,19525,24330,29135
306,306,5111,9916,14721,19526,24331,29136
307,307,5112,9917,14722,19527,24332,29137
308,308,5113,9918,14723,19528,24333,29138
309,309,5114,9919,14724,19529,24334,29139
310,310,5115,9920,14725,19530,24335,29140
311,311,5116,9921,14726,19531,24336,29141
312,312,5117,9922,14727,19532,24337,29142
313,313,5118,9923,14728,19533,24338,29143
314,314,5119,9924,14729,19534,24339,29144
315,315,5120,9925,14730,19535,24340,29145
316,316,5121,9926,14731,19536,24341,29146
317,317,5122,9927,14732,19537,24342,29147
318,318,5123,9928,14733,19538,24343,29148
319,319,5124,9929,14734,19539,24344,29149
320,320,5125,9930,14735,19540,24345,29150
321,321,5126,9931,14736,19541,24346,29151
322,322,5127,9932,14737,19542,24347,29152
323,323,5128,9933,14738,19543,24348,29153
324,324,5129,9934,14739,19544,24349,29154
325,325,5130,9935,14740,19545,24350,29155
326,326,5131,9936,14741,19546,24351,29156
327,327,5132,9937,14742,19547,24352,29157
328,328,5133,9938,14743,19548,24353,29158
329,329,5134,9939,14744,19549,24354,29159
330,330,5135,9940,14745,19550,24355,29160
331,331,5136,9941,14746,19551,24356,29161
332,332,5137,9942,14747,19552,24357,29162
333,333,5138,9943,14748,19553,24358,29163
334,334,5139,9944,14749,19554,24359,29164
335,335,5140,9945,14750,19555,24360,29165
336,336,5141,9946,14751,19556,24361,29166
337,337,5142,9947,14752,19557,24362,29167
338,338,5143,9948,14753,19558,24363,29168
339,339,5144,9949,14754,19559,24364,29169
340,340,5145,9950,14755,19560,24365,29170
341,341,5146,9951,14756,19561,24366,29171
342,342,5147,9952,14757,19562,24367,29172
343,343,5148,9953,14758,19563,24368,29173
344,344,5149,9954,14759,19564,24369,29174
345,345,5150,9955,14760,19565,24370,29175
346,346,5151,9956,14761,19566,24371,29176
347,347,5152,9957,14762,19567,24372,29177
348,348,5153,9958,14763,19568,24373,29178
349,349,5154,9959,14764,19569,24374,29179
350,350,5155,9960,14765,19570,24375,29180
351,351,5156,9961,14766,19571,24376,29181
352,352,5157,9962,14767,19572,24377,29182
353,353,5158,9963,14768,19573,24378,29183
354,354,5159,9964,14769,19574,24379,29184
355,355,5160,9965,14770,19575,24380,29185
356,356,5161,9966,14771,19576,24381,29186
357,357,5162,9967,14772,19577,24382,29187
358,358,5163,9968,14773,19578,24383,29188
359,359,5164,9969,14774,19579,24384,29189
360,360,5165,9970,14775,19580,24385,29190
361,361,5166,9971,14776,19581,24386,29191
362,362,5167,9972,14777,19582,24387,29192
363,363,5168,9973,14778,19583,24388,29193
364,364,5169,9974,14779,19584,24389,29194
365,365,5170,9975,14780,19585,24390,29195
366,366,5171,9976,14781,19586,24391,29196
367,367,5172,9977,14782,19587,24392,29197
368,368,5173,9978,14783,19588,24393,29198
369,369,5174,9979,14784,19589,24394,29199
370,370,5175,9980,14785,19590,24395,29200
371,371,5176,9981,14786,19591,24396,29201
372,372,5177,9982,14787,19592,24397,29202
373,373,5178,9983,14788,19593,24398,29203
374,374,5179,9984,14789,19594,24399,29204
375,375,5180,9985,14790,19595,24400,29205
376,376,5181,9986,14791,19596,24401,29206
377,377,5182,9987,14792,19597,24402,29207
378,378,5183,9988,14793,19598,24403,29208
379,379,5184,9989,14794,19599,24404,29209
380,380,5185,9990,14795,19600,24405,29210
381,381,5186,9991,14796,19601,24406,29211
382,382,5187,9992,14797,19602,24407,29212
383,383,5188,9993,14798,19603,24408,29213
384,384,5189,9994,14799,19604,24409,29214
385,385,5190,9995,14800,19605,24410,29215
386,386,5191,9996,14801,19606,24411,29216
387,387,5192,9997,14802,19607,24412,29217
388,388,5193,9998,14803,19608,24413,29218
389,389,5194,9999,14804,19609,24414,29219
390,390,5195,10000,14805,19610,24415,29220
391,391,5196,10001,14806,19611,24416,29221
392,392,5197,10002,14807,19612,24417,29222
393,393,5198,10003,14808,19613,24418,29223
394,394,5199,10004,14809,19614,24419,29224
395,395,5200,10005,14810,19615,24420,29225
396,396,5201,10006,14811,19616,24421,29226
397,397,5202,10007,14812,19617,24422,29227
398,398,5203,10008,14813,19618,24423,29228
399,399,5204,10009,14814,19619,24424,29229
400,400,5205,10010,14815,19620,24425,29230
401,401,5206,10011,14816,19621,24426,29231
402,402,5207,10012,14817,19622,24427,29232
403,403,5208,10013,14818,19623,24428,29233
404,404,5209,10014,14819,19624,24429,29234
405,405,5210,10015,14820,19625,24430,29235
406,406,5211,10016,14821,19626,24431,29236
407,407,5212,10017,14822,19627,24432,29237
408,408,5213,10018,14823,19628,24433,29238
409,409,5214,10019,14824,19629,24434,29239
410,410,5215,10020,14825,19630,24435,29240
411,411,5216,10021,14826,19631,24436,29241
412,412,5217,10022,14827,19632,24437,29242
413,413,5218,10023,14828,19633,24438,29243
414,414,5219,10024,14829,19634,24439,29244
415,415,5220,10025,14830,19635,24440,29245
416,416,5221,10026,14831,19636,24441,29246
417,417,5222,10027,14832,19637,24442,29247
418,418,5223,10028,14833,19638,24443,29248
419,419,5224,10029,14834,19639,24444,29249
420,420,5225,10030,14835,19640,24445,29250
421,421,5226,10031,14836,19641,24446,29251
422,422,5227,10032,14837,19642,24447,29252
423,423,5228,10033,14838,19643,24448,29253
424,424,5229,10034,14839,19644,24449,29254
425,425,5230,10035,14840,19645,24450,29255
426,426,5231,10036,14841,19646,24451,29256
427,427,5232,10037,14842,19647,24452,29257
428,428,5233,10038,14843,19648,24453,29258
429,429,5234,10039,14844,19649,24454,29259
430,430,5235,10040,14845,19650,24455,29260
431,431,5236,10041,14846,19651,24456,29261
432,432,5237,10042,14847,19652,24457,29262
433,433,5238,10043,14848,19653,24458,29263
434,434,5239,10044,14849,19654,24459,29264
435,435,5240,10045,14850,19655,24460,29265
436,436,5241,10046,14851,19656,24461,29266
437,437,5242,10047,14852,19657,24462,29267
438,438,5243,10048,14853,19658,24463,29268
439,439,5244,10049,14854,19659,24464,29269
440,440,5245,10050,14855,19660,24465,29270
441,441,5246,10051,14856,19661,24466,29271
442,442,5247,10052,14857,19662,24467,29272
443,443,5248,10053,14858,19663,24468,29273
444,444,5249,10054,14859,19664,24469,29274
445,445,5250,10055,14860,19665,24470,29275
446,446,5251,10056,14861,19666,24471,29276
447,447,5252,10057,14862,19667,24472,29277
448,448,5253,10058,14863,19668,24473,29278
449,449,5254,10059,14864,19669,24474,29279
450,450,5255,10060,14865,19670,24475,29280
451,451,5256,10061,14866,19671,24476,29281
452,452,5257,10062,14867,19672,24477,29282
453,453,5258,10063,14868,19673,24478,29283
454,454,5259,10064,14869,19674,24479,29284
455,455,5260,10065,14870,19675,24480,29285
456,456,5261,10066,14871,19676,24481,29286
457,457,5262,10067,14872,19677,24482,29287
458,458,5263,10068,14873,19678,24483,29288
459,459,5264,10069,14874,19679,24484,29289
460,460,5265,10070,14875,19680,24485,29290
461,461,5266,10071,14876,19681,24486,29291
462,462,5267,10072,14877,19682,24487,29292
463,463,5268,10073,14878,19683,24488,29293
464,464,5269,10074,14879,19684,24489,29294
465,465,5270,10075,14880,19685,24490,29295
466,466,5271,10076,14881,19686,24491,29296
467,467,5272,10077,14882,19687,24492,29297
468,468,5273,10078,14883,19688,24493,29298
469,469,5274,10079,14884,19689,24494,29299
470,470,5275,10080,14885,19690,24495,29300
471,471,5276,10081,14886,19691,24496,29301
472,472,5277,10082,14887,19692,24497,29302
473,473,5278,10083,14888,19693,24498,29303
474,474,5279,10084,14889,19694,24499,29304
475,475,5280,10085,14890,19695,24500,29305
476,476,5281,10086,14891,19696,24501,29306
477,477,5282,10087,14892,19697,24502,29307
478,478,5283,10088,14893,19698,24503,29308
479,479,5284,10089,14894,19699,24504,29309
480,480,5285,10090,14895,19700,24505,29310
481,481,5286,10091,14896,19701,24506,29311
482,482,5287,10092,14897,19702,24507,29312
483,483,5288,10093,14898,19703,24508,29313
484,484,5289,10094,14899,19704,24509,29314
485,485,5290,10095,14900,19705,24510,29315
486,486,5291,10096,14901,19706,24511,29316
487,487,5292,10097,14902,19707,24512,29317
488,488,5293,10098,14903,19708,24513,29318
489,489,5294,10099,14904,19709,24514,29319
490,490,5295,10100,14905,19710,24515,29320
491,491,5296,10101,14906,19711,24516,29321
492,492,5297,10102,14907,19712,24517,29322
493,493,5298,10103,14908,19713,24518,29323
494,494,5299,10104,14909,19714,24519,29324
495,495,5300,10105,14910,19715,24520,29325
496,496,5301,10106,14911,19716,24521,29326
497,497,5302,10107,14912,19717,24522,29327
498,498,5303,10108,14913,19718,24523,29328
499,499,5304,10109,14914,19719,24524,29329
500,500,5305,10110,14915,19720,24525,29330
501,501,5306,10111,14916,19721,24526,29331
502,502,5307,10112,14917,19722,24527,29332
503,503,5308,10113,14918,19723,24528,29333
504,504,5309,10114,14919,19724,24529,29334
505,505,5310,10115,14920,19725,24530,29335
506,506,5311,10116,14921,19726,24531,29336
507,507,5312,10117,14922,19727,24532,29337
508,508,5313,10118,14923,19728,24533,29338
509,509,5314,10119,14924,19729,24534,29339
510,510,5315,10120,14925,19730,24535,29340
511,511,5316,10121,14926,19731,24536,29341
512,512,5317,10122,14927,19732,24537,29342
513,513,5318,10123,14928,19733,24538,29343
514,514,5319,10124,14929,19734,24539,29344
515,515,5320,10125,14930,19735,24540,29345
516,516,5321,10126,14931,19736,24541,29346
517,517,5322,10127,14932,19737,24542,29347
518,518,5323,10128,14933,19738,24543,29348
519,519,5324,10129,14934,19739,24544,29349
520,520,5325,10130,14935,19740,24545,29350
521,521,5326,10131,14936,19741,24546,29351
522,522,5327,10132,14937,19742,24547,29352
523,523,5328,10133,14938,19743,24548,29353
524,524,5329,10134,14939,19744,24549,29354
525,525,5330,10135,14940,19745,24550,29355
526,526,5331,10136,14941,19746,24551,29356
527,527,5332,10137,14942,19747,24552,29357
528,528,5333,10138,14943,19748,24553,29358
529,529,5334,10139,14944,19749,24554,29359
530,530,5335,10140,14945,19750,24555,29360
531,531,5336,10141,14946,19751,24556,29361
532,532,5337,10142,14947,19752,24557,29362
533,533,5338,10143,14948,19753,24558,29363
534,534,5339,10144,14949,19754,24559,29364
535,535,5340,10145,14950,19755,24560,29365
536,536,5341,10146,14951,19756,24561,29366
537,537,5342,10147,14952,19757,24562,29367
538,538,5343,10148,14953,19758,24563,29368
539,539,5344,10149,14954,19759,24564,29369
540,540,5345,10150,14955,19760,24565,29370
541,541,5346,10151,14956,19761,24566,29371
542,542,5347,10152,14957,19762,24567,29372
543,543,5348,10153,14958,19763,24568,29373
544,544,5349,10154,14959,19764,24569,29374
545,545,5350,10155,14960,19765,24570,29375
546,546,5351,10156,14961,19766,24571,29376
547,547,5352,10157,14962,19767,24572,29377
548,548,5353,10158,14963,19768,24573,29378
549,549,5354,10159,14964,19769,24574,29379
550,550,5355,10160,14965,19770,24575,29380
551,551,5356,10161,14966,19771,24576,29381
552,552,5357,10162,14967,19772,24577,29382
553,553,5358,10163,14968,19773,24578,29383
554,554,5359,10164,14969,19774,24579,29384
555,555,5360,10165,14970,19775,24580,29385
556,556,5361,10166,14971,19776,24581,29386
557,557,5362,10167,14972,19777,24582,29387
558,558,5363,10168,14973,19778,24583,29388
559,559,5364,10169,14974,19779,24584,29389
560,560,5365,10170,14975,19780,24585,29390
561,561,5366,10171,14976,19781,24586,29391
562,562,5367,10172,14977,19782,24587,29392
563,563,5368,10173,14978,19783,24588,29393
564,564,5369,10174,14979,19784,24589,29394
565,565,5370,10175,14980,19785,24590,29395
566,566,5371,10176,14981,19786,24591,29396
567,567,5372,10177,14982,19787,24592,29397
568,568,5373,10178,14983,19788,24593,29398
569,569,5374,10179,14984,19789,24594,29399
570,570,5375,10180,14985,19790,24595,29400
571,571,5376,10181,14986,19791,24596,29401
572,572,5377,10182,14987,19792,24597,29402
573,573,5378,10183,14988,19793,24598,29403
574,574,5379,10184,14989,19794,24599,29404
575,575,5380,10185,14990,19795,24600,29405
576,576,5381,10186,14991,19796,24601,29406
577,577,5382,10187,14992,19797,24602,29407
578,578,5383,10188,14993,19798,24603,29408
579,579,5384,10189,14994,19799,24604,29409
580,580,5385,10190,14995,19800,24605,29410
581,581,5386,10191,14996,19801,24606,29411
582,582,5387,10192,14997,19802,24607,29412
583,583,5388,10193,14998,19803,24608,29413
584,584,5389,10194,14999,19804,24609,29414
585,585,5390,10195,15000,19805,24610,29415
586,586,5391,10196,15001,19806,24611,29416
587,587,5392,10197,15002,19807,24612,29417
588,588,5393,10198,15003,19808,24613,29418
589,589,5394,10199,15004,19809,24614,29419
590,590,5395,10200,15005,19810,24615,29420
591,591,5396,10201,15006,19811,24616,29421
592,592,5397,10202,15007,19812,24617,29422
593,593,5398,10203,15008,19813,24618,29423
594,594,5399,10204,15009,19814,24619,29424
595,595,5400,10205,15010,19815,24620,29425
596,596,5401,10206,15011,19816,24621,29426
597,597,5402,10207,15012,19817,24622,29427
598,598,5403,10208,15013,19818,24623,29428
599,599,5404,10209,15014,19819,24624,29429
600,600,5405,10210,15015,19820,24625,29430
601,601,5406,10211,15016,19821,24626,29431
602,602,5407,10212,15017,19822,24627,29432
603,603,5408,10213,15018,19823,24628,29433
604,604,5409,10214,15019,19824,24629,29434
605,605,5410,10215,15020,19825,24630,29435
606,606,5411,10216,15021,19826,24631,29436
607,607,5412,10217,15022,19827,24632,29437
608,608,5413,10218,15023,19828,24633,29438
609,609,5414,10219,15024,19829,24634,29439
610,610,5415,10220,15025,19830,24635,29440
611,611,5416,10221,15026,19831,24636,29441
612,612,5417,10222,15027,19832,24637,29442
613,613,5418,10223,15028,19833,24638,29443
614,614,5419,10224,15029,19834,24639,29444
615,615,5420,10225,15030,19835,24640,29445
616,616,5421,10226,15031,19836,24641,29446
617,617,5422,10227,15032,19837,24642,29447
618,618,5423,10228,15033,19838,24643,29448
619,619,5424,10229,15034,19839,24644,29449
620,620,5425,10230,15035,19840,24645,29450
621,621,5426,10231,15036,19841,24646,29451
622,622,5427,10232,15037,19842,24647,29452
623,623,5428,10233,15038,19843,24648,29453
624,624,5429,10234,15039,19844,24649,29454
625,625,5430,10235,15040,19845,24650,29455
626,626,5431,10236,15041,19846,24651,29456
627,627,5432,10237,15042,19847,24652,29457
628,628,5433,10238,15043,19848,24653,29458
629,629,5434,10239,15044,19849,24654,29459
630,630,5435,10240,15045,19850,24655,29460
631,631,5436,10241,15046,19851,24656,29461
632,632,5437,10242,15047,19852,24657,29462
